key,name,iata-code,website,type,foundation-moment,email,phone-number
# Base entity
airline-01,Lorem ipsum dolor sit ame,ASX,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,689762586
#name-variants
airline-02,L,ASR,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,689762586
airline-03,Lo,DPP,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,689762586
airline-04,"Lorem ipsum dolor sit amet, consectetur adipiscin",ASA,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,689762586
airline-05,"Lorem ipsum dolor sit amet, consectetur adipiscing",ASB,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,689762586
airline-06,โลเร็ม อิปซัม,KMJ,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,689762586
airline-07,لوريم إيبسوم,MYK,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,689762586
airline-08,洛伦·伊普森,HPD,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,689762586
airline-09,<marquee>Hacked</marquee>,WPT,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,689762586
airline-10,<script>alert(‘Hacked!’);</script>,PLP,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,689762586
airline-11,'' or 'A' = 'A ,PLK,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,689762586
# iata-code - standard variations / singular values
airline-12,Lorem ipsum dolor sit ame,UUU,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,689762586
airline-13,Lorem ipsum dolor sit ame,XXX,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,689762586
airline-14,Lorem ipsum dolor sit ame,XAX,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,689762586
# website - standard variations
airline-15,Lorem ipsum dolor sit ame,ABC,http://a,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,689762586
airline-16,Lorem ipsum dolor sit ame,DEF,http://a.b,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,689762586
airline-17,Lorem ipsum dolor sit ame,GHI,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,689762586
