key,name,iata-code,operational-scope,city,country,website,email,phone-number
# Base entity
airport-01,Lorem ipsum dolor sit ame,ABC,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
#name-variants
airport-02,L,ABD,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-03,Lo,ABE,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-04,"Lorem ipsum dolor sit amet, consectetur adipiscing",ABF,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-05,"Lorem ipsum dolor sit amet, consectetur adipiscin",ABG,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-06,โลเร็ม อิปซัม,ABH,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-07,لوريم إيبسوم,ABI,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-08,洛伦·伊普森,ABJ,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-09,<marquee>Hacked</marquee>,ABK,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-10,<script>alert(‘Hacked!’);</script>,ABL,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-11,'' or 'A' = 'A,ABM,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
#iata-code-variants
airport-12,Lorem ipsum dolor sit ame,AAA,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-13,Lorem ipsum dolor sit ame,ABB,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-14,Lorem ipsum dolor sit ame,WEO,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
#operational-scope-variants
airport-15,Lorem ipsum dolor sit ame,ABN,DOMESTIC,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-16,Lorem ipsum dolor sit ame,ABO,REGIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
#city-variants
airport-17,Lorem ipsum dolor sit ame,ABP,INTERNATIONAL,L,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-18,Lorem ipsum dolor sit ame,ABQ,INTERNATIONAL,Lo,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-19,Lorem ipsum dolor sit ame,ABR,INTERNATIONAL,"Lorem ipsum dolor sit amet, consectetur adipiscing",Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-20,Lorem ipsum dolor sit ame,ABS,INTERNATIONAL,"Lorem ipsum dolor sit amet, consectetur adipiscin",Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-21,Lorem ipsum dolor sit ame,ABT,INTERNATIONAL,โลเร็ม อิปซัม,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-22,Lorem ipsum dolor sit ame,ABU,INTERNATIONAL,لوريم إيبسوم,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-23,Lorem ipsum dolor sit ame,ABV,INTERNATIONAL,洛伦·伊普森,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-24,Lorem ipsum dolor sit ame,ABW,INTERNATIONAL,<marquee>Hacked</marquee>,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-25,Lorem ipsum dolor sit ame,ABX,INTERNATIONAL,<script>alert(‘Hacked!’);</script>,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-26,Lorem ipsum dolor sit ame,ABY,INTERNATIONAL,'' or 'A' = 'A,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-27,Lorem ipsum dolor sit ame,AEO,INTERNATIONAL,Seville,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
#country-variants
airport-28,Lorem ipsum dolor sit ame,ABZ,INTERNATIONAL,Lorem ipsum dolor sit ame,L,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-29,Lorem ipsum dolor sit ame,ACD,INTERNATIONAL,Lorem ipsum dolor sit ame,Lo,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-30,Lorem ipsum dolor sit ame,ACE,INTERNATIONAL,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-31,Lorem ipsum dolor sit ame,ACF,INTERNATIONAL,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscin",http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-32,Lorem ipsum dolor sit ame,ACG,INTERNATIONAL,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-33,Lorem ipsum dolor sit ame,ACH,INTERNATIONAL,Lorem ipsum dolor sit ame,โลเร็ม อิปซัม,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
