key,name,postedAt,subject,description,score,recommended
# base entity
review-00,"Lorem ipsum dolor sit ame",2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
# name - standard variations
review-01,"L",2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
review-02,"Lo",2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
review-03,"Lorem ipsum dolor sit amet, consectetur adipiscin",2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
review-04,"Lorem ipsum dolor sit amet, consectetur adipiscing",2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
review-05,โลเร็ม อิปซัม,2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
review-06,لوريم إيبسوم,2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
review-07,洛伦·伊普森,2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
review-08,<marquee>Hacked</marquee>,2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
review-09,<script>alert(‘Hacked!’);</script>,2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
review-10,'' or 'A' = 'A ,2012/07/02  00:00,Great Service,The service was excellent and very fast.,9.5,true
# name - no singular value
# postedAt - standard deviations
review-11,"Lorem ipsum dolor sit ame",2000/01/01  00:00,Great Service,The service was excellent and very fast.,9.5,true
review-12,"Lorem ipsum dolor sit ame",2000/01/01  00:01,Great Service,The service was excellent and very fast.,9.5,true
review-13,"Lorem ipsum dolor sit ame",2024/12/31  23:59,Great Service,The service was excellent and very fast.,9.5,true
review-14,"Lorem ipsum dolor sit ame",2025/01/01  00:00,Great Service,The service was excellent and very fast.,9.5,true
# postedAt - singular values
review-15,"Lorem ipsum dolor sit ame",2012/02/29  00:00,Great Service,The service was excellent and very fast.,9.5,true
# subject - standard deviation
review-16,"Lorem ipsum dolor sit ame",2012/07/02  00:00,"L",The service was excellent and very fast.,9.5,true
review-17,"Lorem ipsum dolor sit ame",2012/07/02  00:00,"Lo",The service was excellent and very fast.,9.5,true
review-18,"Lorem ipsum dolor sit ame",2012/07/02  00:00,"Lorem ipsum dolor sit amet, consectetur adipiscin",The service was excellent and very fast.,9.5,true
review-19,"Lorem ipsum dolor sit ame",2012/07/02  00:00,"Lorem ipsum dolor sit amet, consectetur adipiscing",The service was excellent and very fast.,9.5,true
